,Nume,Pret,Clasa,Review,Discount
0,"Frigider cu doua usi Arctic AD54240P+, 223 l, Clasa A+, H 146.5, Alb",799.9,A+,141,0.3
1,"Frigider cu doua usi Heinner HF-M207SA+, 204 l, Clasa A+, Iluminare LED, Control mecanic, H 144 cm, Argintiu",699.9,A+,3,0.3
2,"Frigider cu doua usi Arctic AD54280MT+, 250 l, Clasa A+, Garden Fresh, ECO LED, H 160.6 cm, Argintiu",1055.9,A+,2,0.3
3,"Frigider cu doua usi LG GTB574PZHZD, 438 l, Clasa A++, Display LED, No Frost, Compresor Liniar, Smart Diagnosis, Wifi, Racire prin usa, H 178 cm, Argintiu",2299.99,A++,45,0.3
4,"Frigider cu 2 usi Hotpoint ENXTM 18211 F, 419L, No Frost, H 180 cm, Clasa A+, Alb",2199.9,A+,1,0.3
5,"Frigider cu doua usi Beko RDNE535E20DZM, 471 l, Clasa A+, NeoFrost, H 193 cm, Gri Sidef",2299.99,A+,148,0.3
6,"Frigider cu doua usi Arctic AD6310MT++, 306 l, Clasa A++, H 175.4 cm, Argintiu",1089.9,A++,25,0.3
7,"Frigider cu doua usi Star-Light FDDV-213A+, 213 l, Clasa A+, H 144 cm, Alb",729.99,A+,69,0.3
8,"Frigider cu o usa Daewoo FN-153, 124 l, Clasa A+, H 91.5 cm, Negru",849.99,A+,21,0.3
9,"Frigider cu doua usi LG GTF916PZPZD, 592 l, Clasa A++, No Frost, Dozator apa, Smart Diagnosis, WiFi, Compresor liniar, Afisaj extern, Racire usa, H 184 cm, Argintiu",3575.99,A++,56,0.3
10,"Frigider Zanussi ZRA22800WA, 232 l, Clasa A+, H 125 cm, Alb",952.99,A+,7,0.3
11,"Frigider cu doua usi Samsung RT46K6630S8/EO, 452 l, No Frost, H 1825, Clasa A+, Inox",2229.99,A+,55,0.3
12,"Frigider cu o usa Arctic ANFB276+, 250 l, Clasa A+, H 151 cm, Alb",929.99,A+,24,0.3
13,"Frigider cu o usa Star-Light FTTM-98APP, 98 l, Clasa A++, H 84.5 cm, Alb",549.99,A++,171,0.3
14,"Frigider cu doua usi Arctic AD6310++, 306 l, Clasa A++, H 175.4, Alb",1079.9,A++,87,0.3
15,"Frigider cu doua usi Beko RDNE535E30DZXB, 471 litri, Clasa A++, Compartiment 0°C, Compresor ProSmart Inverter, Everfresh+, NeoFrost, 193 cm, Argintiu",2047.99,A++,11,0.3
16,"Frigider minibar Star-Light MBM-45AP, 45 l, Clasa A+, H 49 cm, Alb",319.99,A+,97,0.3
17,"Frigider cu doua usi Beko RDSA310M30XB, 306 l, Clasa A++, H 175.4, Metal Look",1199.99,A++,4,0.3
18,"Frigider minibar Star-Light MBM-67APBL, 67 l, Clasa A+, H 63 cm, Negru",449.99,A+,154,0.3
19,"Frigider cu doua usi Candy CMDDS 5142W, 204 l, Clasa A+, H 143 cm, Alb",739.99,A+,4,0.3
20,"Frigider cu o usa Star-Light FTTV-81A+, 81 l, Clasa A+, H 83.8 cm, Alb",529.99,A+,10,0.3
21,"Frigider cu doua usi LG GTF744BLPZD, 509 l, Clasa A++, No Frost, Smart Diagnosis, WiFi, Mirror Touch Display, Iluminare LED, Dispenser apa, Compresor inverter liniar, H 180 cm, Negru",2999.99,A++,9,0.3
22,"Frigider cu doua usi Indesit TAA5, 415 l , Clasa A+, H 180 cm, Alb",1279.99,A+,96,0.3
23,"Frigider cu doua usi Hotpoint ENXTY19222XFW, 472 l, Clasa A+, Full No Frost, H 190 cm, Inox",1799.0,A+,89,0.3
24,"Frigider cu doua usi Electrolux EJ2801AOX2, 265 l, Clasa A+, H 159 cm, Inox antiamprenta",1379.99,A+,34,0.3
25,"Frigider cu o usa Beko RSSA445K21XP, 402 l, Clasa A+, Iluminare LED, H185.3 cm, Inox Antiamprenta",1469.99,A+,21,0.3
26,"Frigider cu doua usi Beko RDNE455K30ZXB, 406 l, Clasa A++, NoFrost, H 185 cm, Argintiu",1789.99,A++,16,0.3
27,"Frigider cu doua usi Samsung RT32K5030S9/EO, 321 l, Clasa A+, No Frost, Compresor Digital Inverter, H 171.5 cm, Inox",1879.9,A+,38,0.3
28,"Frigider cu doua usi Beko RDSA290M20XP, 278 l, Clasa A+, H 162 cm, Inox",1199.9,A+,7,0.3
29,"Frigider cu doua usi Samsung RT50K6335SL/EO, 500 l, Clasa A++, No Frost, Compresor Digital Inverter, Twin Cooling Plus, Smart Conversion, Afisaj extern, H 178.5 cm, Inox",2839.9,A++,30,0.3
30,"Frigider cu o usa Arctic AR60290+, 286 litri, Clasa A+,H 151 cm, Alb",949.99,"A+,H",1,0.3
31,"Frigider cu o usa Star-Light FTTM-113AP, 113 l, Clasa A++, H 84.5 cm, Alb",599.99,A++,156,0.3
32,"Frigider cu doua usi Star-Light FDDV-253A+, 253 l, Clasa A+, H 160 cm, Alb",799.99,A+,5,0.3
33,"Frigider cu o usa Heinner HF-100A+, 100 l, Clasa A+, H 83.9 cm, Alb",653.61,A+,49,0.3
34,"Frigider cu o usa Arctic ANFB155+, 138 l, Clasa A+, H 101.7 cm, Alb",779.99,A+,41,0.3
35,"Frigider cu doua usi Samsung RT38K5435S9/EO, 384 l, Clasa A++, No Frost, Twin Cooling Plus, Compresor Digital Inverter, Display, Iluminare LED, Inox",1999.99,A++,0,0.3
36,"Frigider cu doua usi Beko DN161220X, 565 l, Clasa A+, NeoFrost, H 182 cm, Inox antiamprenta",2799.99,A+,22,0.3
37,"Frigider cu doua usi Arctic AD60290+, 278 l, Clasa A+, H 162, Alb",962.0,A+,9,0.3
38,"Frigider cu doua usi Arctic AD54280+, 250 l, Clasa A+, Garden Fresh, H 166.3 cm, Alb",949.99,A+,15,0.3
39,"Frigider cu doua usi Beko RDSE465K20W, 437 l, Clasa A+, H 185 cm, Alb",1599.99,A+,42,0.3
40,"Frigider cu doua usi Samsung RT58K7105SL/EO, 583 l, Clasa A++, No Frost, Compresor Digital Inverter, Dozator de apa, H 180 cm, Inox",3299.9,A++,8,0.3
41,"Frigider Heinner HF-V401NFWA+, 380 l, Clasa A+, No Frost, Control electronic, Iluminare LED, H 186 cm, Alb",1369.99,A+,0,0.3
42,"Frigider cu doua usi Zanussi ZRT27100WA, 265 l, Clasa A+, H 159 cm, Alb",1099.99,A+,31,0.3
43,"Frigider cu doua usi Arctic AD54240+, 223 l, Clasa A+, H 145.8 cm, Alb",949.9,A+,46,0.3
44,"Frigider cu doua usi Heinner HF-205A+, 205 l, Clasa A+, Iluminare LED, H 143.4 cm, Alb",899.9,A+,4,0.3
45,"Frigider cu doua usi NEO BCD-295 DSSA+, clasa A+, inox, 224 l, dozator apa, H 170 cm",1399.9,A+,1,0.3
46,"Frigider cu o usa Star-Light FTTM-113APPSS, 113 l, Clasa A++, H 84.5 cm, Gri/Inox",649.99,A++,156,0.3
47,"Frigider cu 2 usi Beko RDNE505E30ZXB, 450 litri, NoFrost, Touch Control, Clasa A++, H 185 cm, Argintiu",1957.99,A++,3,0.3
48,"Frigider cu 2 usi Hotpoint ENTM18210VW, 414 l, Clasa A+, alb",1539.99,A+,27,0.3
49,"Frigider cu o usa incorporabil Whirlpool ARG 18081, 318 l, Clasa A++, 6th Sense, H 177.1 cm",2549.99,A++,0,0.3
50,"Frigider cu doua usi LG GTB744PZHZD, 506 l, Clasa A++, No Frost, Compresor Inverter Linear, Display Extern, Smart ThinQ, H 180 cm, Inox",3399.9,A++,7,0.3
51,"Frigider cu o usa Arctic FB125+, 114 l, Clasa A+, H 84 cm, Alb",749.99,A+,17,0.3
52,"Frigider cu doua usi Hansa FD207.4, 138 l, Clasa A+, Control mecanic, H 129 cm, Alb",779.99,A+,5,0.3
53,"Frigider cu doua usi Heinner HF-V240A+, 240 l, Clasa A+, Less Frost, Control mecanic, H 160 cm, Alb",899.99,A+,2,0.3
54,"Frigider cu doua usi Heinner HF-270A+, 270 l, Clasa A+, H 170 cm, Alb",979.99,A+,8,0.3
55,"Frigider cu doua usi Midea HD-520FWENW, 371l, Clasa A+, Total No frost, Dozator Apa, H 171,2cm, Inox",1549.99,A+,1,0.3
56,"Frigider cu doua usi Heinner HF-M207A+, 204 l, Clasa A+, Iluminare LED, Control mecanic, H 144 cm, Alb",779.99,A+,1,0.3
57,"Frigider cu doua usi Indesit TIAA 12.1, 306 l, Clasa A+, H 175, Alb",1139.0,A+,5,0.3
58,"Frigider cu doua usi Liebherr CT 2931, 270 l, Clasa A++, SmartFrost, VarioSpace, H 157.1 cm, Alb",1499.9,A++,7,0.3
59,"Frigider cu doua usi MIDEA HD-554FWENWH, 410l, Total No Frost, Dozator Apa, Clasa A+, H 173 cm, Alb",1699.99,A+,0,0.3
60,"Frigider cu o usa Heinner HF-V250A+, 250 l, Clasa A+, Control mecanic, H 144 cm, Alb",969.99,A+,1,0.44
61,"Frigider cu doua usi MIDEA HD-554FWEN, 410l, Total No Frost, Dozator Apa, Clasa A+, H 173 cm, Inox",1899.99,A+,0,0.44
62,"Frigider cu o usa incorporabil Bosch KIF51AF30, 222 l, Clasa A++, FreshSense, H 140 cm",2799.99,A++,2,0.44
63,"Frigider cu doua usi NEO BCG-260 DBA+, clasa A+, 205 l, dozator apa, H 143 cm",1149.99,A+,2,0.44
64,"Frigider cu o usa Arctic AF54250+, 221 l, Clasa A+, H 144 cm, Alb",899.99,A+,1,0.44
65,"Frigider cu o usa Daewoo FN-146, 122 l, Clasa A+, H 85.8 cm, Alb",699.99,A+,11,0.44
66,"Frigider cu doua usi Indesit RAA 24N, 217 l, Clasa A+, H 140, Alb",1069.99,A+,4,0.44
